From,To,Sala A5-A7: Fill Level
4/21/2021 09:20,4/21/2021 09:30,7
4/21/2021 09:30,4/21/2021 09:40,7
4/21/2021 09:40,4/21/2021 09:50,8
4/21/2021 09:50,4/21/2021 10:00,7
4/21/2021 10:00,4/21/2021 10:10,8
4/21/2021 10:10,4/21/2021 10:20,8
4/21/2021 10:20,4/21/2021 10:30,6
4/21/2021 10:30,4/21/2021 10:40,6
4/21/2021 10:40,4/21/2021 10:50,6
4/21/2021 10:50,4/21/2021 11:00,8
4/21/2021 11:00,4/21/2021 11:10,9
4/21/2021 11:10,4/21/2021 11:20,12
4/21/2021 11:20,4/21/2021 11:30,15
4/21/2021 11:30,4/21/2021 11:40,15
4/21/2021 11:40,4/21/2021 11:50,18
4/21/2021 11:50,4/21/2021 12:00,25
4/21/2021 12:00,4/21/2021 12:10,28
4/21/2021 12:10,4/21/2021 12:20,35
4/21/2021 12:20,4/21/2021 12:30,40
4/21/2021 12:30,4/21/2021 12:40,51
4/21/2021 12:40,4/21/2021 12:50,64
4/21/2021 12:50,4/21/2021 13:00,76
4/21/2021 13:00,4/21/2021 13:10,90
4/21/2021 13:10,4/21/2021 13:20,111
4/21/2021 13:20,4/21/2021 13:30,92
4/21/2021 13:30,4/21/2021 13:40,28
4/21/2021 13:40,4/21/2021 13:50,26
4/21/2021 13:50,4/21/2021 14:00,14
4/21/2021 14:00,4/21/2021 14:10,12
4/21/2021 14:10,4/21/2021 14:20,12
4/21/2021 14:20,4/21/2021 14:30,14
4/21/2021 14:30,4/21/2021 14:40,15
4/21/2021 14:40,4/21/2021 14:50,15
4/21/2021 14:50,4/21/2021 15:00,15
4/21/2021 15:00,4/21/2021 15:10,17
4/21/2021 15:10,4/21/2021 15:20,24
4/21/2021 15:20,4/21/2021 15:30,33
4/21/2021 15:30,4/21/2021 15:40,46
4/21/2021 15:40,4/21/2021 15:50,51
4/21/2021 15:50,4/21/2021 16:00,58
4/21/2021 16:00,4/21/2021 16:10,36
4/21/2021 16:10,4/21/2021 16:20,18
4/21/2021 16:20,4/21/2021 16:30,18
4/21/2021 16:30,4/21/2021 16:40,17
4/21/2021 16:40,4/21/2021 16:50,15
4/21/2021 16:50,4/21/2021 17:00,14
4/21/2021 17:00,4/21/2021 17:10,14
4/21/2021 17:10,4/21/2021 17:20,14
4/21/2021 17:20,4/21/2021 17:30,14
4/21/2021 17:30,4/21/2021 17:40,16
4/21/2021 17:40,4/21/2021 17:50,15
4/21/2021 17:50,4/21/2021 18:00,14
4/21/2021 18:00,4/21/2021 18:10,14
4/21/2021 18:10,4/21/2021 18:20,14
4/21/2021 18:20,4/21/2021 18:30,14
4/21/2021 18:30,4/21/2021 18:40,14
4/21/2021 18:40,4/21/2021 18:50,15
4/21/2021 18:50,4/21/2021 19:00,17
4/21/2021 19:00,4/21/2021 19:10,17
4/21/2021 19:10,4/21/2021 19:20,17
4/21/2021 19:20,4/21/2021 19:30,17
4/21/2021 19:30,4/21/2021 19:40,17
4/21/2021 19:40,4/21/2021 19:50,16
4/21/2021 19:50,4/21/2021 20:00,16
4/21/2021 20:00,4/21/2021 20:10,14
4/21/2021 20:10,4/21/2021 20:20,14
4/21/2021 20:20,4/21/2021 20:30,14
4/21/2021 20:30,4/21/2021 20:40,16
4/21/2021 20:40,4/21/2021 20:50,15
4/21/2021 20:50,4/21/2021 21:00,16
4/21/2021 21:00,4/21/2021 21:10,16
4/21/2021 21:10,4/21/2021 21:20,13
4/21/2021 21:20,4/21/2021 21:30,14
4/21/2021 21:30,4/21/2021 21:40,15
4/21/2021 21:40,4/21/2021 21:50,15
4/21/2021 21:50,4/21/2021 22:00,16
4/21/2021 22:00,4/21/2021 22:10,14
4/21/2021 22:10,4/21/2021 22:20,16
4/21/2021 22:20,4/21/2021 22:30,14
4/21/2021 22:30,4/21/2021 22:40,14
4/21/2021 22:40,4/21/2021 22:50,15
4/21/2021 22:50,4/21/2021 23:00,15
4/21/2021 23:00,4/21/2021 23:10,14
4/21/2021 23:10,4/21/2021 23:20,15
4/21/2021 23:20,4/21/2021 23:30,14
4/21/2021 23:30,4/21/2021 23:40,14
4/21/2021 23:40,4/21/2021 23:50,14
4/21/2021 23:50,4/22/2021 00:00,14
4/22/2021 00:00,4/22/2021 00:10,14
4/22/2021 00:10,4/22/2021 00:20,14
4/22/2021 00:20,4/22/2021 00:30,14
4/22/2021 00:30,4/22/2021 00:40,14
4/22/2021 00:40,4/22/2021 00:50,14
4/22/2021 00:50,4/22/2021 01:00,14
4/22/2021 01:00,4/22/2021 01:10,14
4/22/2021 01:10,4/22/2021 01:20,14
4/22/2021 01:20,4/22/2021 01:30,14
4/22/2021 01:30,4/22/2021 01:40,14
4/22/2021 01:40,4/22/2021 01:50,14
4/22/2021 01:50,4/22/2021 02:00,14
4/22/2021 02:00,4/22/2021 02:10,14
4/22/2021 02:10,4/22/2021 02:20,14
4/22/2021 02:20,4/22/2021 02:30,14
4/22/2021 02:30,4/22/2021 02:40,14
4/22/2021 02:40,4/22/2021 02:50,14
4/22/2021 02:50,4/22/2021 03:00,14
4/22/2021 03:00,4/22/2021 03:10,14
4/22/2021 03:10,4/22/2021 03:20,16
4/22/2021 03:20,4/22/2021 03:30,16
4/22/2021 03:30,4/22/2021 03:40,16
4/22/2021 03:40,4/22/2021 03:50,16
4/22/2021 03:50,4/22/2021 04:00,15
4/22/2021 04:00,4/22/2021 04:10,0
4/22/2021 04:10,4/22/2021 04:20,1
4/22/2021 04:20,4/22/2021 04:30,1
4/22/2021 04:30,4/22/2021 04:40,1
4/22/2021 04:40,4/22/2021 04:50,1
4/22/2021 04:50,4/22/2021 05:00,1
4/22/2021 05:00,4/22/2021 05:10,0
4/22/2021 05:10,4/22/2021 05:20,1
4/22/2021 05:20,4/22/2021 05:30,2
4/22/2021 05:30,4/22/2021 05:40,4
4/22/2021 05:40,4/22/2021 05:50,6
4/22/2021 05:50,4/22/2021 06:00,7
4/22/2021 06:00,4/22/2021 06:10,12
4/22/2021 06:10,4/22/2021 06:20,12
4/22/2021 06:20,4/22/2021 06:30,18
4/22/2021 06:30,4/22/2021 06:40,17
4/22/2021 06:40,4/22/2021 06:50,15
4/22/2021 06:50,4/22/2021 07:00,14
4/22/2021 07:00,4/22/2021 07:10,17
4/22/2021 07:10,4/22/2021 07:20,23
4/22/2021 07:20,4/22/2021 07:30,27
4/22/2021 07:30,4/22/2021 07:40,26
4/22/2021 07:40,4/22/2021 07:50,30
4/22/2021 07:50,4/22/2021 08:00,34
4/22/2021 08:00,4/22/2021 08:10,44
4/22/2021 08:10,4/22/2021 08:20,54
4/22/2021 08:20,4/22/2021 08:30,67
4/22/2021 08:30,4/22/2021 08:40,86
4/22/2021 08:40,4/22/2021 08:50,86
4/22/2021 08:50,4/22/2021 09:00,40
4/22/2021 09:00,4/22/2021 09:10,10
4/22/2021 09:10,4/22/2021 09:20,10
4/22/2021 09:20,4/22/2021 09:30,5
4/22/2021 09:30,4/22/2021 09:40,6
4/22/2021 09:40,4/22/2021 09:50,6
4/22/2021 09:50,4/22/2021 10:00,6
4/22/2021 10:00,4/22/2021 10:10,5
4/22/2021 10:10,4/22/2021 10:20,0
4/22/2021 10:20,4/22/2021 10:30,0
4/22/2021 10:30,4/22/2021 10:40,0
4/22/2021 10:40,4/22/2021 10:50,0
4/22/2021 10:50,4/22/2021 11:00,1
4/22/2021 11:00,4/22/2021 11:10,3
4/22/2021 11:10,4/22/2021 11:20,8
4/22/2021 11:20,4/22/2021 11:30,17
4/22/2021 11:30,4/22/2021 11:40,19
4/22/2021 11:40,4/22/2021 11:50,27
4/22/2021 11:50,4/22/2021 12:00,28
4/22/2021 12:00,4/22/2021 12:10,37
4/22/2021 12:10,4/22/2021 12:20,48
4/22/2021 12:20,4/22/2021 12:30,54
4/22/2021 12:30,4/22/2021 12:40,59
4/22/2021 12:40,4/22/2021 12:50,67
4/22/2021 12:50,4/22/2021 13:00,80
4/22/2021 13:00,4/22/2021 13:10,106
4/22/2021 13:10,4/22/2021 13:20,133
4/22/2021 13:20,4/22/2021 13:30,118
4/22/2021 13:30,4/22/2021 13:40,46
4/22/2021 13:40,4/22/2021 13:50,22
4/22/2021 13:50,4/22/2021 14:00,23
4/22/2021 14:00,4/22/2021 14:10,15
4/22/2021 14:10,4/22/2021 14:20,8
4/22/2021 14:20,4/22/2021 14:30,7
4/22/2021 14:30,4/22/2021 14:40,7
4/22/2021 14:40,4/22/2021 14:50,7
4/22/2021 14:50,4/22/2021 15:00,7
4/22/2021 15:00,4/22/2021 15:10,9
4/22/2021 15:10,4/22/2021 15:20,9
4/22/2021 15:20,4/22/2021 15:30,8
4/22/2021 15:30,4/22/2021 15:40,7
4/22/2021 15:40,4/22/2021 15:50,13
4/22/2021 15:50,4/22/2021 16:00,14
4/22/2021 16:00,4/22/2021 16:10,21
4/22/2021 16:10,4/22/2021 16:20,31
4/22/2021 16:20,4/22/2021 16:30,50
4/22/2021 16:30,4/22/2021 16:40,67
4/22/2021 16:40,4/22/2021 16:50,83
4/22/2021 16:50,4/22/2021 17:00,33
4/22/2021 17:00,4/22/2021 17:10,22
4/22/2021 17:10,4/22/2021 17:20,20
4/22/2021 17:20,4/22/2021 17:30,20
4/22/2021 17:30,4/22/2021 17:40,17
4/22/2021 17:40,4/22/2021 17:50,17
4/22/2021 17:50,4/22/2021 18:00,15
4/22/2021 18:00,4/22/2021 18:10,15
4/22/2021 18:10,4/22/2021 18:20,16
4/22/2021 18:20,4/22/2021 18:30,19
4/22/2021 18:30,4/22/2021 18:40,21
4/22/2021 18:40,4/22/2021 18:50,21
4/22/2021 18:50,4/22/2021 19:00,22
4/22/2021 19:00,4/22/2021 19:10,21
4/22/2021 19:10,4/22/2021 19:20,18
4/22/2021 19:20,4/22/2021 19:30,18
4/22/2021 19:30,4/22/2021 19:40,17
4/22/2021 19:40,4/22/2021 19:50,18
4/22/2021 19:50,4/22/2021 20:00,20
4/22/2021 20:00,4/22/2021 20:10,20
4/22/2021 20:10,4/22/2021 20:20,20
4/22/2021 20:20,4/22/2021 20:30,20
4/22/2021 20:30,4/22/2021 20:40,21
4/22/2021 20:40,4/22/2021 20:50,22
4/22/2021 20:50,4/22/2021 21:00,24
4/22/2021 21:00,4/22/2021 21:10,26
4/22/2021 21:10,4/22/2021 21:20,30
4/22/2021 21:20,4/22/2021 21:30,33
4/22/2021 21:30,4/22/2021 21:40,34
4/22/2021 21:40,4/22/2021 21:50,35
4/22/2021 21:50,4/22/2021 22:00,37
4/22/2021 22:00,4/22/2021 22:10,45
4/22/2021 22:10,4/22/2021 22:20,52
4/22/2021 22:20,4/22/2021 22:30,60
4/22/2021 22:30,4/22/2021 22:40,66
4/22/2021 22:40,4/22/2021 22:50,78
4/22/2021 22:50,4/22/2021 23:00,93
4/22/2021 23:00,4/22/2021 23:10,112
4/22/2021 23:10,4/22/2021 23:20,117
4/22/2021 23:20,4/22/2021 23:30,87
4/22/2021 23:30,4/22/2021 23:40,41
4/22/2021 23:40,4/22/2021 23:50,27
4/22/2021 23:50,4/23/2021 00:00,21
4/23/2021 00:00,4/23/2021 00:10,19
4/23/2021 00:10,4/23/2021 00:20,20
4/23/2021 00:20,4/23/2021 00:30,20
4/23/2021 00:30,4/23/2021 00:40,20
4/23/2021 00:40,4/23/2021 00:50,20
4/23/2021 00:50,4/23/2021 01:00,20
4/23/2021 01:00,4/23/2021 01:10,19
4/23/2021 01:10,4/23/2021 01:20,20
4/23/2021 01:20,4/23/2021 01:30,19
4/23/2021 01:30,4/23/2021 01:40,19
4/23/2021 01:40,4/23/2021 01:50,18
4/23/2021 01:50,4/23/2021 02:00,20
4/23/2021 02:00,4/23/2021 02:10,17
4/23/2021 02:10,4/23/2021 02:20,17
4/23/2021 02:20,4/23/2021 02:30,18
4/23/2021 02:30,4/23/2021 02:40,18
4/23/2021 02:40,4/23/2021 02:50,19
4/23/2021 02:50,4/23/2021 03:00,17
4/23/2021 03:00,4/23/2021 03:10,17
4/23/2021 03:10,4/23/2021 03:20,17
4/23/2021 03:20,4/23/2021 03:30,18
4/23/2021 03:30,4/23/2021 03:40,18
4/23/2021 03:40,4/23/2021 03:50,17
4/23/2021 03:50,4/23/2021 04:00,17
4/23/2021 04:00,4/23/2021 04:10,0
4/23/2021 04:10,4/23/2021 04:20,1
4/23/2021 04:20,4/23/2021 04:30,1
4/23/2021 04:30,4/23/2021 04:40,1
4/23/2021 04:40,4/23/2021 04:50,1
4/23/2021 04:50,4/23/2021 05:00,2
4/23/2021 05:00,4/23/2021 05:10,4
4/23/2021 05:10,4/23/2021 05:20,14
4/23/2021 05:20,4/23/2021 05:30,25
4/23/2021 05:30,4/23/2021 05:40,37
4/23/2021 05:40,4/23/2021 05:50,54
4/23/2021 05:50,4/23/2021 06:00,61
4/23/2021 06:00,4/23/2021 06:10,24
4/23/2021 06:10,4/23/2021 06:20,3
4/23/2021 06:20,4/23/2021 06:30,3
4/23/2021 06:30,4/23/2021 06:40,5
4/23/2021 06:40,4/23/2021 06:50,6
4/23/2021 06:50,4/23/2021 07:00,8
4/23/2021 07:00,4/23/2021 07:10,11
4/23/2021 07:10,4/23/2021 07:20,17
4/23/2021 07:20,4/23/2021 07:30,37
4/23/2021 07:30,4/23/2021 07:40,46
4/23/2021 07:40,4/23/2021 07:50,65
4/23/2021 07:50,4/23/2021 08:00,67
4/23/2021 08:00,4/23/2021 08:10,35
4/23/2021 08:10,4/23/2021 08:20,30
4/23/2021 08:20,4/23/2021 08:30,32
4/23/2021 08:30,4/23/2021 08:40,33
4/23/2021 08:40,4/23/2021 08:50,38
4/23/2021 08:50,4/23/2021 09:00,37
4/23/2021 09:00,4/23/2021 09:10,17
4/23/2021 09:10,4/23/2021 09:20,6
4/23/2021 09:20,4/23/2021 09:30,8
4/23/2021 09:30,4/23/2021 09:40,9
4/23/2021 09:40,4/23/2021 09:50,7
4/23/2021 09:50,4/23/2021 10:00,5
4/23/2021 10:00,4/23/2021 10:10,6
4/23/2021 10:10,4/23/2021 10:20,8
4/23/2021 10:20,4/23/2021 10:30,7
4/23/2021 10:30,4/23/2021 10:40,5
4/23/2021 10:40,4/23/2021 10:50,5
4/23/2021 10:50,4/23/2021 11:00,5
4/23/2021 11:00,4/23/2021 11:10,5
4/23/2021 11:10,4/23/2021 11:20,7
4/23/2021 11:20,4/23/2021 11:30,9
4/23/2021 11:30,4/23/2021 11:40,11
4/23/2021 11:40,4/23/2021 11:50,11
4/23/2021 11:50,4/23/2021 12:00,11
4/23/2021 12:00,4/23/2021 12:10,14
4/23/2021 12:10,4/23/2021 12:20,16
4/23/2021 12:20,4/23/2021 12:30,19
4/23/2021 12:30,4/23/2021 12:40,21
4/23/2021 12:40,4/23/2021 12:50,19
4/23/2021 12:50,4/23/2021 13:00,23
4/23/2021 13:00,4/23/2021 13:10,27
4/23/2021 13:10,4/23/2021 13:20,37
4/23/2021 13:20,4/23/2021 13:30,42
4/23/2021 13:30,4/23/2021 13:40,53
4/23/2021 13:40,4/23/2021 13:50,68
4/23/2021 13:50,4/23/2021 14:00,80
4/23/2021 14:00,4/23/2021 14:10,106
4/23/2021 14:10,4/23/2021 14:20,138
4/23/2021 14:20,4/23/2021 14:30,81
4/23/2021 14:30,4/23/2021 14:40,22
4/23/2021 14:40,4/23/2021 14:50,19
4/23/2021 14:50,4/23/2021 15:00,21
4/23/2021 15:00,4/23/2021 15:10,17
4/23/2021 15:10,4/23/2021 15:20,17
4/23/2021 15:20,4/23/2021 15:30,18
4/23/2021 15:30,4/23/2021 15:40,15
4/23/2021 15:40,4/23/2021 15:50,13
4/23/2021 15:50,4/23/2021 16:00,6
4/23/2021 16:00,4/23/2021 16:10,4
4/23/2021 16:10,4/23/2021 16:20,4
4/23/2021 16:20,4/23/2021 16:30,4
4/23/2021 16:30,4/23/2021 16:40,4
4/23/2021 16:40,4/23/2021 16:50,4
4/23/2021 16:50,4/23/2021 17:00,4
4/23/2021 17:00,4/23/2021 17:10,5
4/23/2021 17:10,4/23/2021 17:20,8
4/23/2021 17:20,4/23/2021 17:30,10
4/23/2021 17:30,4/23/2021 17:40,14
4/23/2021 17:40,4/23/2021 17:50,17
4/23/2021 17:50,4/23/2021 18:00,23
4/23/2021 18:00,4/23/2021 18:10,25
4/23/2021 18:10,4/23/2021 18:20,27
4/23/2021 18:20,4/23/2021 18:30,34
4/23/2021 18:30,4/23/2021 18:40,41
4/23/2021 18:40,4/23/2021 18:50,45
4/23/2021 18:50,4/23/2021 19:00,54
4/23/2021 19:00,4/23/2021 19:10,55
4/23/2021 19:10,4/23/2021 19:20,32
4/23/2021 19:20,4/23/2021 19:30,8
4/23/2021 19:30,4/23/2021 19:40,10
4/23/2021 19:40,4/23/2021 19:50,16
4/23/2021 19:50,4/23/2021 20:00,10
4/23/2021 20:00,4/23/2021 20:10,7
4/23/2021 20:10,4/23/2021 20:20,6
4/23/2021 20:20,4/23/2021 20:30,4
4/23/2021 20:30,4/23/2021 20:40,4
4/23/2021 20:40,4/23/2021 20:50,5
4/23/2021 20:50,4/23/2021 21:00,3
4/23/2021 21:00,4/23/2021 21:10,7
4/23/2021 21:10,4/23/2021 21:20,10
4/23/2021 21:20,4/23/2021 21:30,11
4/23/2021 21:30,4/23/2021 21:40,12
4/23/2021 21:40,4/23/2021 21:50,24
4/23/2021 21:50,4/23/2021 22:00,24
4/23/2021 22:00,4/23/2021 22:10,28
4/23/2021 22:10,4/23/2021 22:20,35
4/23/2021 22:20,4/23/2021 22:30,40
4/23/2021 22:30,4/23/2021 22:40,45
4/23/2021 22:40,4/23/2021 22:50,58
4/23/2021 22:50,4/23/2021 23:00,77
4/23/2021 23:00,4/23/2021 23:10,94
4/23/2021 23:10,4/23/2021 23:20,86
4/23/2021 23:20,4/23/2021 23:30,47
4/23/2021 23:30,4/23/2021 23:40,18
4/23/2021 23:40,4/23/2021 23:50,11
4/23/2021 23:50,4/24/2021 00:00,1
4/24/2021 00:00,4/24/2021 00:10,0
4/24/2021 00:10,4/24/2021 00:20,0
4/24/2021 00:20,4/24/2021 00:30,0
4/24/2021 00:30,4/24/2021 00:40,0
4/24/2021 00:40,4/24/2021 00:50,0
4/24/2021 00:50,4/24/2021 01:00,0
4/24/2021 01:00,4/24/2021 01:10,0
4/24/2021 01:10,4/24/2021 01:20,0
4/24/2021 01:20,4/24/2021 01:30,1
4/24/2021 01:30,4/24/2021 01:40,0
4/24/2021 01:40,4/24/2021 01:50,0
4/24/2021 01:50,4/24/2021 02:00,0
4/24/2021 02:00,4/24/2021 02:10,0
4/24/2021 02:10,4/24/2021 02:20,1
4/24/2021 02:20,4/24/2021 02:30,2
4/24/2021 02:30,4/24/2021 02:40,1
4/24/2021 02:40,4/24/2021 02:50,1
4/24/2021 02:50,4/24/2021 03:00,1
4/24/2021 03:00,4/24/2021 03:10,1
4/24/2021 03:10,4/24/2021 03:20,0
4/24/2021 03:20,4/24/2021 03:30,0
4/24/2021 03:30,4/24/2021 03:40,0
4/24/2021 03:40,4/24/2021 03:50,0
4/24/2021 03:50,4/24/2021 04:00,0
4/24/2021 04:00,4/24/2021 04:10,0
4/24/2021 04:10,4/24/2021 04:20,0
4/24/2021 04:20,4/24/2021 04:30,0
4/24/2021 04:30,4/24/2021 04:40,2
4/24/2021 04:40,4/24/2021 04:50,2
4/24/2021 04:50,4/24/2021 05:00,1
4/24/2021 05:00,4/24/2021 05:10,3
4/24/2021 05:10,4/24/2021 05:20,1
4/24/2021 05:20,4/24/2021 05:30,2
4/24/2021 05:30,4/24/2021 05:40,1
4/24/2021 05:40,4/24/2021 05:50,0
4/24/2021 05:50,4/24/2021 06:00,3
4/24/2021 06:00,4/24/2021 06:10,8
4/24/2021 06:10,4/24/2021 06:20,13
4/24/2021 06:20,4/24/2021 06:30,15
4/24/2021 06:30,4/24/2021 06:40,15
4/24/2021 06:40,4/24/2021 06:50,18
4/24/2021 06:50,4/24/2021 07:00,21
4/24/2021 07:00,4/24/2021 07:10,23
4/24/2021 07:10,4/24/2021 07:20,25
4/24/2021 07:20,4/24/2021 07:30,29
4/24/2021 07:30,4/24/2021 07:40,33
4/24/2021 07:40,4/24/2021 07:50,44
4/24/2021 07:50,4/24/2021 08:00,48
4/24/2021 08:00,4/24/2021 08:10,55
4/24/2021 08:10,4/24/2021 08:20,55
4/24/2021 08:20,4/24/2021 08:30,66
4/24/2021 08:30,4/24/2021 08:40,80
4/24/2021 08:40,4/24/2021 08:50,70
4/24/2021 08:50,4/24/2021 09:00,20
4/24/2021 09:00,4/24/2021 09:10,12
4/24/2021 09:10,4/24/2021 09:20,10
4/24/2021 09:20,4/24/2021 09:30,5
4/24/2021 09:30,4/24/2021 09:40,3
4/24/2021 09:40,4/24/2021 09:50,1
4/24/2021 09:50,4/24/2021 10:00,1
4/24/2021 10:00,4/24/2021 10:10,2
4/24/2021 10:10,4/24/2021 10:20,4
4/24/2021 10:20,4/24/2021 10:30,9
4/24/2021 10:30,4/24/2021 10:40,5
4/24/2021 10:40,4/24/2021 10:50,1
4/24/2021 10:50,4/24/2021 11:00,2
4/24/2021 11:00,4/24/2021 11:10,3
4/24/2021 11:10,4/24/2021 11:20,6
4/24/2021 11:20,4/24/2021 11:30,7
4/24/2021 11:30,4/24/2021 11:40,10
4/24/2021 11:40,4/24/2021 11:50,15
4/24/2021 11:50,4/24/2021 12:00,23
4/24/2021 12:00,4/24/2021 12:10,29
4/24/2021 12:10,4/24/2021 12:20,32
4/24/2021 12:20,4/24/2021 12:30,46
4/24/2021 12:30,4/24/2021 12:40,57
4/24/2021 12:40,4/24/2021 12:50,63
4/24/2021 12:50,4/24/2021 13:00,80
4/24/2021 13:00,4/24/2021 13:10,116
4/24/2021 13:10,4/24/2021 13:20,134
4/24/2021 13:20,4/24/2021 13:30,86
4/24/2021 13:30,4/24/2021 13:40,33
4/24/2021 13:40,4/24/2021 13:50,23
4/24/2021 13:50,4/24/2021 14:00,11
4/24/2021 14:00,4/24/2021 14:10,6
4/24/2021 14:10,4/24/2021 14:20,4
4/24/2021 14:20,4/24/2021 14:30,4
4/24/2021 14:30,4/24/2021 14:40,5
4/24/2021 14:40,4/24/2021 14:50,3
4/24/2021 14:50,4/24/2021 15:00,4
4/24/2021 15:00,4/24/2021 15:10,4
4/24/2021 15:10,4/24/2021 15:20,2
4/24/2021 15:20,4/24/2021 15:30,2
4/24/2021 15:30,4/24/2021 15:40,2
4/24/2021 15:40,4/24/2021 15:50,2
4/24/2021 15:50,4/24/2021 16:00,2
4/24/2021 16:00,4/24/2021 16:10,2
4/24/2021 16:10,4/24/2021 16:20,2
4/24/2021 16:20,4/24/2021 16:30,2
4/24/2021 16:30,4/24/2021 16:40,2
4/24/2021 16:40,4/24/2021 16:50,2
4/24/2021 16:50,4/24/2021 17:00,2
4/24/2021 17:00,4/24/2021 17:10,2
4/24/2021 17:10,4/24/2021 17:20,2
4/24/2021 17:20,4/24/2021 17:30,2
4/24/2021 17:30,4/24/2021 17:40,2
4/24/2021 17:40,4/24/2021 17:50,2
4/24/2021 17:50,4/24/2021 18:00,2
4/24/2021 18:00,4/24/2021 18:10,3
4/24/2021 18:10,4/24/2021 18:20,1
4/24/2021 18:20,4/24/2021 18:30,1
4/24/2021 18:30,4/24/2021 18:40,1
4/24/2021 18:40,4/24/2021 18:50,0
4/24/2021 18:50,4/24/2021 19:00,0
4/24/2021 19:00,4/24/2021 19:10,0
4/24/2021 19:10,4/24/2021 19:20,0
4/24/2021 19:20,4/24/2021 19:30,0
4/24/2021 19:30,4/24/2021 19:40,0
4/24/2021 19:40,4/24/2021 19:50,0
4/24/2021 19:50,4/24/2021 20:00,0
4/24/2021 20:00,4/24/2021 20:10,0
4/24/2021 20:10,4/24/2021 20:20,0
4/24/2021 20:20,4/24/2021 20:30,0
4/24/2021 20:30,4/24/2021 20:40,1
4/24/2021 20:40,4/24/2021 20:50,2
4/24/2021 20:50,4/24/2021 21:00,3
4/24/2021 21:00,4/24/2021 21:10,10
4/24/2021 21:10,4/24/2021 21:20,13
4/24/2021 21:20,4/24/2021 21:30,18
4/24/2021 21:30,4/24/2021 21:40,20
4/24/2021 21:40,4/24/2021 21:50,21
4/24/2021 21:50,4/24/2021 22:00,23
4/24/2021 22:00,4/24/2021 22:10,25
4/24/2021 22:10,4/24/2021 22:20,29
4/24/2021 22:20,4/24/2021 22:30,30
4/24/2021 22:30,4/24/2021 22:40,36
4/24/2021 22:40,4/24/2021 22:50,46
4/24/2021 22:50,4/24/2021 23:00,55
4/24/2021 23:00,4/24/2021 23:10,60
4/24/2021 23:10,4/24/2021 23:20,86
4/24/2021 23:20,4/24/2021 23:30,74
4/24/2021 23:30,4/24/2021 23:40,21
4/24/2021 23:40,4/24/2021 23:50,3
4/24/2021 23:50,4/25/2021 00:00,1
4/25/2021 00:00,4/25/2021 00:10,1
4/25/2021 00:10,4/25/2021 00:20,1
4/25/2021 00:20,4/25/2021 00:30,0
4/25/2021 00:30,4/25/2021 00:40,1
4/25/2021 00:40,4/25/2021 00:50,1
4/25/2021 00:50,4/25/2021 01:00,2
4/25/2021 01:00,4/25/2021 01:10,2
4/25/2021 01:10,4/25/2021 01:20,2
4/25/2021 01:20,4/25/2021 01:30,0
4/25/2021 01:30,4/25/2021 01:40,0
4/25/2021 01:40,4/25/2021 01:50,0
4/25/2021 01:50,4/25/2021 02:00,1
4/25/2021 02:00,4/25/2021 02:10,4
4/25/2021 02:10,4/25/2021 02:20,12
4/25/2021 02:20,4/25/2021 02:30,18
4/25/2021 02:30,4/25/2021 02:40,20
4/25/2021 02:40,4/25/2021 02:50,23
4/25/2021 02:50,4/25/2021 03:00,26
4/25/2021 03:00,4/25/2021 03:10,31
4/25/2021 03:10,4/25/2021 03:20,38
4/25/2021 03:20,4/25/2021 03:30,49
4/25/2021 03:30,4/25/2021 03:40,67
4/25/2021 03:40,4/25/2021 03:50,70
4/25/2021 03:50,4/25/2021 04:00,85
4/25/2021 04:00,4/25/2021 04:10,3
4/25/2021 04:10,4/25/2021 04:20,20
4/25/2021 04:20,4/25/2021 04:30,23
4/25/2021 04:30,4/25/2021 04:40,4
4/25/2021 04:40,4/25/2021 04:50,0
4/25/2021 04:50,4/25/2021 05:00,1
4/25/2021 05:00,4/25/2021 05:10,0
4/25/2021 05:10,4/25/2021 05:20,0
4/25/2021 05:20,4/25/2021 05:30,0
4/25/2021 05:30,4/25/2021 05:40,0
4/25/2021 05:40,4/25/2021 05:50,0
4/25/2021 05:50,4/25/2021 06:00,1
4/25/2021 06:00,4/25/2021 06:10,1
4/25/2021 06:10,4/25/2021 06:20,1
4/25/2021 06:20,4/25/2021 06:30,0
4/25/2021 06:30,4/25/2021 06:40,3
4/25/2021 06:40,4/25/2021 06:50,9
4/25/2021 06:50,4/25/2021 07:00,14
4/25/2021 07:00,4/25/2021 07:10,19
4/25/2021 07:10,4/25/2021 07:20,31
4/25/2021 07:20,4/25/2021 07:30,36
4/25/2021 07:30,4/25/2021 07:40,38
4/25/2021 07:40,4/25/2021 07:50,11
4/25/2021 07:50,4/25/2021 08:00,1
4/25/2021 08:00,4/25/2021 08:10,2
4/25/2021 08:10,4/25/2021 08:20,0
4/25/2021 08:20,4/25/2021 08:30,0
4/25/2021 08:30,4/25/2021 08:40,1
4/25/2021 08:40,4/25/2021 08:50,2
4/25/2021 08:50,4/25/2021 09:00,6
4/25/2021 09:00,4/25/2021 09:10,25
4/25/2021 09:10,4/25/2021 09:20,36
4/25/2021 09:20,4/25/2021 09:30,40
4/25/2021 09:30,4/25/2021 09:40,43
4/25/2021 09:40,4/25/2021 09:50,50
4/25/2021 09:50,4/25/2021 10:00,40
4/25/2021 10:00,4/25/2021 10:10,6
4/25/2021 10:10,4/25/2021 10:20,0
